token,name,title,text
#,Report,보고서,"분기별 보고서입니다. 이것은 국가의 현재 상태에 영향을 미치는 몇 가지 주요 지표를 조명합니다. 또한, 알아두어야 할 다른 정보가 있을 수도 있습니다. 이번 분기에 주의가 필요한 긴급한 딜레마가 표시될 수도 있습니다. 어쨌든...살피셔야 할 일이 많은 것 같으니 업무를 시작하십시오. 믿음직스럽게 정부를 운영하시리라고 확신합니다."
,,,
#,Expenses,지출,이 차트는 정부 지출 내역을 보여줍니다. 개별 항목을 클릭하면 자세한 내용을 볼 수 있습니다. 여러 항목의 비용은 다양한 요인에 따라 시간이 지남에 따라 달라집니다.
,,,
#,Income,수입,"이 차트는 정부 수입 또는 수익의 분석을 보여줍니다. 수입이 지출보다 적으면 부족분이나 적자는 정부 차입으로 메워질 것입니다. 단기적으로는 괜찮을지 모르지만, 차입은 국가의 부채를 증가시키고 모든 부채에는 이자가 발생합니다. 항목을 클릭하면 자세한 내용을 볼 수 있습니다."
,,,
#,Charts,차트,차트 화면은 시간의 흐름에 따른 경제 관련 여러 중요 지표를 보여줍니다. 세계 경제는 자국의 GDP에 영향을 미칠 것입니다. 부채 수준이 너무 높아지면 채권 시장의 불안을 높여 이자율이 오르며 부채의 소용돌이로 이어질 수 있으므로 부채 수준은 항상 염려해야 합니다.
,,,
#,Intel,정보,"여기는 정보 브리핑룸입니다. 우리는 여러 조직을 감시합니다. 이들 조직 일부는 비교적 무해하지만, 사람들을 더 극단적이고 위험한 그룹으로 향하게 하는 '관문' 역할을 할 수 있으므로 우리는 그 구성원들을 예의 주시해야 합니다. 정부에 대한 공격을 방지할 가능성은 당신이 운영하는 보안 정책에 따라 달라집니다."
,,,
#,Polling,여론조사,"이것은 여론조사 데이터입니다. 시간이 지남에 따라 정부에 관한 의견이 어떻게 변했는지를 나타내는 각 유권자 그룹에 대한 선들을 보여줍니다. 색상 버튼을 사용하여 각 선을 켜고 끌 수 있으며 이름을 클릭하여 각 유권자 그룹을 방문할 수 있지만, 이것은 나중에 다시 살펴보겠습니다..."
#,Polling2,여론조사,여기 온 김에 포커스 그룹을 살펴봅시다. 포커스 그룹 버튼을 누르십시오.
#,FocusGroup,포커스 그룹,개인(하단에 정렬됨)은 무작위 포커스 그룹의 구성원입니다. 하단에 있는 개별 유권자를 클릭하여 해당 유권자에 관한 정보를 보거나 원형 파란색 아이콘으로 새 포커스 그룹을 만들 수 있습니다.
#,FocusGroup2,포커스 그룹,"이 도표는 개인이 소속 유권자 그룹과 어느 정도로 교류하고 있는지, 소속 그룹에서 그들이 접하는 의견이 무엇인지, 이 모든 것이 어떻게 합쳐져서 정부에 관한 이들의 최종 의견을 이루는지를 보여줍니다."
#,FocusGroup3,포커스 그룹,이제 여론조사로 알아본 정책의 인기도를 살펴보겠습니다. 정책 버튼을 누르십시오.
,,,
,,,
#,Cabinet,내각,이것은 각 정부 부서에서 일하는 사람을 보여줍니다. 각 장관은 저마다 다른 수준의 경험과 충성도를 지닐 것이며 둘 다 시간이 지남에 따라 변할 수 있습니다. 경험 많은 장관들이 맡은 업무에서 더 효과적이며 정책을 더 빠르고 저렴하게 구현할 수 있습니다. 시간이 지남에 따라 장관의 충성도는 달라질 수 있음을 기억하십시오.
#,Cabinet2,내각,"불충한 장관은 정치 자본을 덜 제공하므로 결국 몇몇 장관을 해임하거나 내각을 완전히 개편해야 할 수도 있습니다. 또한, 각 장관은 저마다 다른 유권자 그룹에게 인기가 있으므로 내각에 등용하면 특정 유권자를 어느 정도 만족시킬 수 있습니다."
#,Cabinet3,내각,이제 각료들의 경력 전망을 결정하는 것은 당신에게 맡기겠습니다. 누군가를 해고하기 전에 항상 후임으로 임용할 인물이 누가 있는지를 살펴볼 수 있다는 것을 잊지 마십시오...
,,,
#,Polls,여론조사,이 차트는 지금 선거가 치러진다면 당신에게 투표할 것이라 말하는 유권자의 백분율 추정치를 보여줍니다. 투표율이 100%일 리가 없으므로 정확하지 않을 수 있습니다. 어느 쪽으로든 강한 견해가 없는 유권자는 선거를 의무화하지 않는 한 선거날 투표에 참여하지 않습니다.
,,,
,,,
#,Electioneering,선거 운동,이것은 '선거 운동' 화면의 여러 탭 중에서 선택하여 우리 당의 다양한 측면과 재선 찬스를 볼 수 있습니다! 연설이나 공약 같은 일부 옵션은 선거 직전까지 적용되지 않을 수 있으므로 그때까지는 국가 운영에 집중하시는 것이 가장 좋습니다.
#,Manifestos,공약,공약 선언은 선택 사항이지만 막바지에 선거 전 부스트가 필요한 경우 유권자에게 거창한 약속을 하는 것이 유리합니다. 재선에 성공하고 나서 이 약속을 어기면 유권자들에게 응징받을 수 있다는 점에 유의하십시오.
#,Speeches,연설,"연설은 선거에 앞서 턴을 돌아가며 할 수 있습니다. 이런 연설의 긍정적인 면으로는, 실제 제안이나 약속을 하지 않고도 유권자 그룹의 지지를 얻을 수 있다는 것입니다. 나쁜 면이 있다면 선택하는 각 슬로건이 일부 유권자를 화나게 하거나 일부 유권자를 기쁘게 할 수 있으므로 현명하게 선택해야 한다는 것입니다."
#,Speech Results,연설 결과,"이 화면은 당신의 연설 결과를 보여주며, 한 슬로건에서 다른 슬로건으로 넘어가면서 전체 유권자를 표본으로 한 광범위한 포커스 그룹에서 연설이 얼마나 인기가 있는지 보여줍니다. 값이 클수록 더 좋긴 하지만, 모든 사람을 기쁘게 하는 연설은 거의 없습니다."
#,Fundraising,모금 활동,"선거 운동을 위한 모금 활동은 부분적으로 활동가를 통해 이루어지며 부분적으로는 부유한 기부자를 통해 이루어집니다. 활동가들은 당신의 행동에 따라 시간이 지나면서 합류하거나 떠납니다. 거액 기부자들도 비슷하게 움직이지만, 여기에서 이들의 기분을 가늠할 수 있으므로 이들이 화내기 전에 알아채 기부금을 잃는 것을 미리 막을 수 있습니다."
#,Perceptions,인식,"후보자와 정당에 대한 유권자의 인식은 '미정' 유권자에게 중요한 영향을 미칠 수 있습니다. 여당이 3가지 주요 인식 측정에서 모두 높은 값을 얻는다면 가장 이상적이겠지만, 현실에서는 당신이 시행한 정책 탓에 그런 결과가 나오는 건 불가능합니다. 다만 언론 이벤트를 통해 대중의 인식을 보정할 수는 있습니다. 선거가 아직 먼 시점에 언론 이벤트를 낭비하지 마십시오. 시간이 지나면서 효과가 사라지기 때문입니다."
,,,
#,Happiness,행복,이 차트는 이 유권자 그룹의 모든 사람을 보여주며 이들이 행복(초록)에서 분노(빨강)까지의 스펙트럼에서 어디쯤 있는지 보여줍니다. 유권자는 다양한 그룹에 속해 있으므로 이 그룹만이 그들의 의견에 영향을 미치는 것은 아닙니다. 각 점을 클릭하면 포커스 그룹 화면 안에 이 유권자가 표시됩니다.
